Model,Launch,Core name,Cores,Threads,Freq (MHz),Turbo (MHz),L3 Cache (KB),TDP (Watt),DP FLOPs/cycle,DB GFLOPS (No Turbo),DB GFLOPS/Watt,Tech (micron),Socket,FSB (MHz),L2 Cache (KB)
 E5-2665 , Mar 2012 , Sandy Bridge-EP ,8,16,2400,3100,20480,115,8,154,1.336,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E3-1225 v2 , May 2012 , Ivy Bridge-H2 ,4,4,3200,3600,8192,77,8,102,1.330,0.022, Socket 1155 ,,1024
 E5-2680 , Mar 2012 , Sandy Bridge-EP ,8,16,2700,3500,20480,130,8,173,1.329,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-4650 , May 2012 , Sandy Bridge-EP ,8,16,2700,3300,20480,130,8,173,1.329,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E5-2687W , Mar 2012 , Sandy Bridge-EP ,8,16,3100,3800,20480,150,8,198,1.323,0.032, Socket 2011 , 4000 (DMI/QPI) ,2048
 E3-1240 , Apr 2011 , Sandy Bridge ,4,8,3300,3700,8192,80,8,106,1.320,0.032, Socket 1155 ,,1024
 E5-2420 v2 , Jan 2014 , Ivy Bridge-EN ,6,12,2200,2700,15360,80,8,106,1.320,0.022, Socket 1356 , 3600 (DMI/QPI) ,1536
 E5-4607 v2 , Mar 2014 , Ivy Bridge-EP ,6,12,2600,,15360,95,8,125,1.314,0.022, Socket 2011 , 3200 (DMI/QPI) ,1536
 E5-1650 v2 , Sep 2013 , Ivy Bridge-EP ,6,12,3500,3900,12288,130,8,168,1.292,0.022, Socket 2011 ,,1536
 E5-2643 v2 , Sep 2013 , Ivy Bridge-EP ,6,12,3500,3800,25600,130,8,168,1.292,0.022, Socket 2011 , 4000 (DMI/QPI) ,1536
 E3-1230 , Apr 2011 , Sandy Bridge ,4,8,3200,3600,8192,80,8,102,1.280,0.032, Socket 1155 ,,1024
 E5-2418L , May 2012 , Sandy Bridge-EN ,4,8,2000,2100,10240,50,8,64,1.280,0.032, Socket 1356 , 3200 (DMI/QPI) ,1024
 E5-2440 v2 , Jan 2014 , Ivy Bridge-EN ,8,16,1900,2400,20480,95,8,122,1.280,0.022, Socket 1356 , 3600 (DMI/QPI) ,2048
 E5-2640 , Mar 2012 , Sandy Bridge-EP ,6,12,2500,3000,15360,95,8,120,1.263,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E5-2620 v2 , Sep 2013 , Ivy Bridge-EP ,6,12,2100,2600,15360,80,8,101,1.260,0.022, Socket 2011 , 3600 (DMI/QPI) ,1536
 E3-1220 , Apr 2011 , Sandy Bridge ,4,4,3100,3400,8192,80,8,99,1.240,0.032, Socket 1155 ,,1024
 E7-4820 v2 , Feb 2014 , Ivy Bridge-EX ,8,16,2000,2500,16384,105,8,128,1.219,0.022, Socket 2011-1 , 3600 (DMI/QPI) ,2048
 E5-1660 , Mar 2012 , Sandy Bridge-EP ,6,12,3300,3900,15360,130,8,158,1.218,0.032, Socket 2011 ,,1536
 E3-1290 , May 2011 , Sandy Bridge ,4,8,3600,4000,8192,95,8,115,1.213,0.032, Socket 1155 ,,1024
 E5-2440 , May 2012 , Sandy Bridge-EN ,6,12,2400,2900,15360,95,8,115,1.213,0.032, Socket 1356 , 3600 (DMI/QPI) ,1536
 E5-4610 , May 2012 , Sandy Bridge-EP ,6,12,2400,2900,15360,95,8,115,1.213,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E5-1650 , Mar 2012 , Sandy Bridge-EP ,6,12,3200,3800,12288,130,8,154,1.182,0.032, Socket 2011 ,,1536
 E3-1280 , Apr 2011 , Sandy Bridge ,4,8,3500,3900,8192,95,8,112,1.179,0.032, Socket 1155 ,,1024
 E5-2630 , Mar 2012 , Sandy Bridge-EP ,6,12,2300,2800,15360,95,8,110,1.162,0.032, Socket 2011 , 3600 (DMI/QPI) ,1536
 E3-1275 , Apr 2011 , Sandy Bridge ,4,8,3400,3800,8192,95,8,109,1.145,0.032, Socket 1155 ,,1024
 E5-1410 , May 2012 , Sandy Bridge-EN ,4,8,2800,3200,10240,80,8,90,1.120,0.032, Socket 1356 ,,1024
 E5-1410 v2 , Jan 2014 , Ivy Bridge-EN ,4,8,2800,3200,10240,80,8,90,1.120,0.022, Socket 1356 ,,1024
 E3-1245 , Apr 2011 , Sandy Bridge ,4,8,3300,3700,8192,95,8,106,1.112,0.032, Socket 1155 ,,1024
 E5-2430 , May 2012 , Sandy Bridge-EN ,6,12,2200,2700,15360,95,8,106,1.112,0.032, Socket 1356 , 3600 (DMI/QPI) ,1536
 E5-4607 , May 2012 , Sandy Bridge-EP ,6,12,2200,,12288,95,8,106,1.112,0.032, Socket 2011 , 3200 (DMI/QPI) ,1536
